hour_start,rx_gb,tx_gb,total_gb,avg_rate_mbps,reset_event,anomaly
2025-11-02 23:00:00 EET,0.5658540856093168,0.0417498042806983,0.6076038898900151,9960.51575182013,0,0
2025-11-03 00:00:00 EET,1.534928822889924,0.18364880047738552,1.7185776233673096,9385.725260416666,0,0
2025-11-03 01:00:00 EET,0.8006718745455146,0.07274843845516443,0.873420313000679,7157.047272788449,0,0
2025-11-03 02:00:00 EET,0.7298306142911315,0.04165457934141159,0.7714851936325431,6320.006706237793,0,0
2025-11-03 04:00:00 EET,0.7683783061802387,2.8608419680967927,3.6292202742770314,14863.22190706274,0,0
2025-11-03 05:00:00 EET,1.1218739906325936,0.1716600637882948,1.2935340544208884,10599.575300288221,0,0
2025-11-03 06:00:00 EET,0.9050363358110189,0.08358107134699821,0.9886174071580172,7045.7983755385485,0,0
2025-11-03 07:00:00 EET,0.17691011354327202,0.009602822363376617,0.18651293590664864,4355.099204600282,0,0
2025-11-03 08:00:00 EET,0.21508436743170023,0.029098193161189556,0.24418256059288979,2062.2098313164465,0,0
2025-11-03 12:00:00 EET,1.0011330367997289,0.03951327037066221,1.040646307170391,1763.1798445377133,0,0
2025-11-03 13:00:00 EET,0.34821696300059557,0.0482943719252944,0.39651133492588997,4673.699072968188,1,0
2025-11-03 14:00:00 EET,1.07910215575248,0.050688741728663445,1.1297908974811435,9247.540748208688,0,0
2025-11-03 15:00:00 EET,1.265165758319199,0.05289577320218086,1.31806153152138,10809.570700334627,0,0
2025-11-03 16:00:00 EET,2.472425404936075,0.29890416003763676,2.771329564973712,18162.185437011718,0,0
2025-11-03 17:00:00 EET,0.2621690910309553,0.08078188635408878,0.3429509773850441,2809.4544067382812,0,0
2025-11-03 18:00:00 EET,1.3467884063720703,0.205988559871912,1.5527769662439823,12716.816458454465,0,0
2025-11-03 19:00:00 EET,1.057598472572863,0.10195126757025719,1.1595497401431203,9499.031471252441,0,0
2025-11-03 20:00:00 EET,1.0708416970446706,0.06553995050489902,1.1363816475495696,9311.82507480241,0,0
2025-11-03 21:00:00 EET,1.792826846241951,0.12649466283619404,1.919321509078145,14950.632458670203,0,0
2025-11-03 22:00:00 EET,4.492634313181043,4.041208134032786,8.533842447213829,126278.6022976781,3,0
2025-11-03 23:00:00 EET,1.1598603380843997,0.18980049062520266,1.3496608287096024,8882.641694184473,0,0
2025-11-04 00:00:00 EET,0.32817322202026844,0.04407207854092121,0.37224530056118965,12184.19601321882,0,0
2025-11-04 01:00:00 EET,1.4749958449974656,0.16582291293889284,1.6408187579363585,7680.907008579799,0,0
2025-11-04 02:00:00 EET,1.080972757190466,0.08431601710617542,1.1652887742966413,8381.89373183832,0,0
2025-11-04 03:00:00 EET,0.6718354122713208,0.07212090864777565,0.7439563209190965,6830.686379666643,0,0
2025-11-04 04:00:00 EET,0.6511656874790788,0.054016854614019394,0.7051825420930982,5962.350741220177,0,0
2025-11-04 05:00:00 EET,0.7939209742471576,0.05625410657376051,0.8501750808209181,6964.634262084961,0,0
2025-11-04 06:00:00 EET,0.7135392362251878,0.03632140904664993,0.7498606452718377,6144.565229741823,0,0
2025-11-04 07:00:00 EET,1.1607548324391246,0.03242269530892372,1.1931775277480483,9774.510307312012,0,0
2025-11-04 08:00:00 EET,0.9845315255224705,0.03377772495150566,1.0183092504739761,8341.989379882812,0,0
2025-11-04 09:00:00 EET,0.04889355134218931,0.023006453178822994,0.0719000045210123,589.0048370361328,0,0
2025-11-04 10:00:00 EET,0.15931887924671173,0.009989173151552677,0.1693080523982644,1386.971565246582,0,0
2025-11-04 11:00:00 EET,0.08951275981962681,0.00553499348461628,0.09504775330424309,778.4149686881682,0,0
2025-11-04 12:00:00 EET,0.35198376793414354,0.00894747581332922,0.36093124374747276,2956.748748779297,0,0
2025-11-04 13:00:00 EET,0.4457797138020396,0.02195937465876341,0.46773908846080303,3832.783274691646,0,0
2025-11-04 14:00:00 EET,0.40921751223504543,0.016585822217166424,0.42580333445221186,3488.1809158325195,0,0
2025-11-04 15:00:00 EET,0.46786386147141457,0.01864262204617262,0.4865064835175872,3985.461112976074,0,0
2025-11-04 16:00:00 EET,0.901787961833179,0.03713302034884691,0.9389209821820259,7689.504712503905,0,0
2025-11-04 17:00:00 EET,0.6707265032455325,0.04597599525004625,0.7167024984955788,5872.858217180554,0,0
2025-11-04 18:00:00 EET,1.1541968323290348,0.07603740319609642,1.2302342355251312,10078.078857421875,0,0
2025-11-04 19:00:00 EET,1.586492863483727,0.06791898887604475,1.6544118523597717,13552.94189453125,0,0
2025-11-04 20:00:00 EET,1.63158923946321,0.09502989146858454,1.7266191309317946,13364.847798985758,1,0
2025-11-04 22:00:00 EET,0.2719101030379534,0.041668050922453403,0.3135781539604068,5149.1069343413965,0,0
2025-11-04 23:00:00 EET,0.5953913228586316,0.08937652502208948,0.6847678478807211,5620.5470513275595,0,0
2025-11-05 00:00:00 EET,0.6037189038470387,0.1270343130454421,0.7307532168924809,5983.006460305255,0,0
2025-11-05 01:00:00 EET,0.6623179018497467,0.07991656195372343,0.7422344638034701,6082.074192531509,0,0
2025-11-05 02:00:00 EET,1.1210468830540776,0.09539110492914915,1.2164379879832268,9962.292694032472,0,0
2025-11-05 03:00:00 EET,2.1460362607613206,0.14722675923258066,2.2932630199939013,18796.85335609898,0,0
2025-11-05 04:00:00 EET,1.0176132628694177,0.05471663270145655,1.0723298955708742,12196.025999328873,1,0
2025-11-05 05:00:00 EET,0.5199624709784985,0.060140508227050304,0.5801029792055488,6532.238633198426,1,0
